text,label,source
1,0,url
1,0,url
1,0,url
0,0,url
1,0,url
1,0,url
1,0,url
0,1,url
1,0,url
0,1,url
1,1,url
0,1,url
0,1,url
1,0,url
0,1,url
0,1,url
0,1,url
1,0,url
1,1,url
1,1,url
0,1,url
1,0,url
1,0,url
1,0,url
1,0,url
0,1,url
0,1,url
1,1,url
0,1,url
1,0,url
1,1,url
1,0,url
0,0,url
1,0,url
1,0,url
1,0,url
1,0,url
0,1,url
0,1,url
1,1,url
0,1,url
1,1,url
0,0,url
0,1,url
1,0,url
1,0,url
1,0,url
0,1,url
0,1,url
1,1,url
0,1,url
0,1,url
0,1,url
0,1,url
1,0,url
1,1,url
0,1,url
0,1,url
0,0,url
1,0,url
1,0,url
1,0,url
1,1,url
0,1,url
0,1,url
0,1,url
0,0,url
0,1,url
0,1,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
0,1,url
1,0,url
0,1,url
0,1,url
0,1,url
0,0,url
0,1,url
0,0,url
1,0,url
1,0,url
0,1,url
1,1,url
0,0,url
0,1,url
1,1,url
1,1,url
0,1,url
0,1,url
0,1,url
0,1,url
1,0,url
1,0,url
1,0,url
0,0,url
0,1,url
0,1,url
0,1,url
0,0,url
1,1,url
0,1,url
1,1,url
1,1,url
0,0,url
1,1,url
0,1,url
0,0,url
1,0,url
0,1,url
1,0,url
0,1,url
0,0,url
0,0,url
0,1,url
0,1,url
0,1,url
1,1,url
0,1,url
1,0,url
0,1,url
0,0,url
0,0,url
0,1,url
0,1,url
0,1,url
1,0,url
0,1,url
1,0,url
0,0,url
1,0,url
1,0,url
1,1,url
0,1,url
0,1,url
0,1,url
0,1,url
0,1,url
0,1,url
0,0,url
0,1,url
1,1,url
0,0,url
0,0,url
1,0,url
1,0,url
1,0,url
0,1,url
0,1,url
0,0,url
0,1,url
0,1,url
0,1,url
0,1,url
1,1,url
1,1,url
0,1,url
0,1,url
0,0,url
1,1,url
0,1,url
0,1,url
0,1,url
0,0,url
1,0,url
1,0,url
1,0,url
0,1,url
0,1,url
0,1,url
0,1,url
0,1,url
0,0,url
0,1,url
0,1,url
0,1,url
1,1,url
0,1,url
0,1,url
1,1,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
0,1,url
1,0,url
1,1,url
1,0,url
0,1,url
0,1,url
1,0,url
0,1,url
0,1,url
1,0,url
0,1,url
0,1,url
0,0,url
1,1,url
1,0,url
0,1,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
0,1,url
1,0,url
1,0,url
0,1,url
1,1,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,1,url
0,1,url
0,1,url
0,0,url
1,1,url
0,0,url
0,0,url
1,0,url
1,0,url
0,1,url
1,0,url
1,0,url
0,0,url
1,0,url
1,1,url
1,1,url
1,0,url
1,1,url
1,0,url
1,1,url
0,0,url
1,0,url
0,0,url
1,0,url
1,0,url
1,0,url
0,1,url
1,0,url
0,1,url
0,1,url
1,0,url
0,1,url
0,1,url
1,0,url
1,0,url
1,1,url
1,0,url
1,0,url
1,0,url
1,1,url
0,0,url
1,1,url
1,1,url
0,1,url
1,0,url
1,0,url
0,0,url
1,0,url
1,0,url
1,0,url
0,1,url
0,0,url
0,1,url
1,1,url
1,1,url
1,0,url
0,1,url
0,1,url
1,0,url
0,1,url
0,0,url
1,0,url
1,0,url
1,0,url
1,0,url
0,1,url
1,1,url
1,1,url
1,0,url
1,0,url
1,1,url
1,1,url
1,0,url
1,0,url
1,0,url
1,1,url
1,0,url
1,1,url
0,0,url
0,1,url
1,1,url
0,1,url
1,1,url
1,0,url
0,1,url
0,0,url
1,0,url
0,0,url
1,0,url
1,0,url
1,0,url
0,0,url
0,1,url
1,0,url
1,0,url
1,0,url
0,0,url
0,0,url
1,0,url
0,0,url
1,0,url
0,1,url
1,0,url
1,0,url
1,0,url
0,1,url
0,1,url
0,0,url
0,0,url
0,1,url
1,0,url
1,0,url
1,0,url
0,0,url
1,0,url
1,0,url
1,0,url
1,1,url
1,1,url
1,1,url
1,1,url
0,0,url
0,1,url
1,1,url
1,1,url
1,1,url
0,0,url
0,1,url
0,0,url
1,1,url
0,0,url
1,1,url
0,1,url
1,0,url
1,0,url
0,1,url
1,1,url
1,1,url
0,1,url
1,1,url
0,0,url
1,0,url
0,0,url
0,0,url
1,1,url
0,1,url
1,1,url
1,1,url
0,0,url
0,0,url
0,1,url
0,1,url
1,0,url
1,0,url
1,1,url
0,1,url
1,1,url
1,0,url
0,1,url
1,0,url
0,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
0,0,url
1,0,url
0,0,url
1,1,url
1,0,url
1,0,url
0,1,url
0,0,url
1,1,url
1,1,url
1,0,url
1,0,url
1,1,url
0,0,url
1,1,url
0,1,url
1,1,url
1,0,url
1,0,url
0,0,url
1,0,url
1,0,url
1,0,url
0,1,url
1,1,url
0,0,url
1,1,url
1,1,url
1,0,url
1,1,url
1,1,url
0,1,url
0,1,url
1,1,url
1,0,url
1,1,url
1,1,url
1,0,url
0,0,url
0,0,url
1,0,url
0,0,url
0,0,url
1,1,url
1,0,url
1,1,url
1,1,url
1,1,url
1,1,url
1,1,url
1,1,url
1,0,url
1,1,url
1,1,url
1,1,url
1,0,url
1,1,url
1,1,url
1,1,url
1,1,url
1,0,url
1,0,url
1,0,url
0,0,url
1,0,url
1,1,url
1,1,url
1,1,url
1,1,url
1,1,url
0,1,url
0,1,url
1,1,url
1,0,url
1,1,url
1,0,url
1,0,url
0,1,url
1,0,url
0,1,url
1,1,url
1,0,url
0,1,url
1,0,url
1,0,url
0,0,url
1,0,url
0,0,url
1,0,url
1,1,url
1,0,url
1,1,url
0,0,url
0,1,url
1,0,url
1,0,url
0,1,url
0,1,url
0,1,url
1,0,url
1,1,url
0,0,url
1,1,url
0,1,url
0,0,url
0,0,url
1,1,url
0,1,url
0,0,url
1,1,url
0,1,url
0,1,url
0,1,url
0,0,url
1,1,url
0,1,url
0,0,url
1,0,url
1,1,url
0,0,url
1,0,url
1,0,url
0,1,url
1,0,url
0,1,url
0,0,url
0,0,url
1,1,url
1,0,url
1,0,url
1,1,url
0,1,url
0,0,url
1,1,url
1,0,url
1,0,url
1,0,url
0,0,url
1,0,url
1,0,url
0,1,url
0,1,url
1,0,url
0,1,url
0,1,url
0,1,url
0,0,url
1,1,url
1,0,url
1,1,url
0,0,url
1,1,url
0,1,url
0,1,url
1,0,url
1,0,url
1,0,url
1,0,url
0,1,url
1,0,url
1,1,url
1,0,url
1,0,url
0,1,url
1,1,url
1,0,url
1,0,url
0,1,url
1,1,url
1,1,url
1,0,url
1,1,url
1,0,url
1,0,url
1,0,url
0,0,url
1,0,url
1,1,url
0,0,url
0,1,url
1,1,url
1,1,url
0,0,url
0,0,url
0,1,url
1,1,url
1,0,url
0,0,url
1,1,url
1,0,url
1,1,url
0,1,url
1,0,url
1,0,url
1,0,url
1,0,url
0,0,url
0,1,url
0,1,url
0,1,url
1,1,url
1,0,url
0,0,url
1,1,url
1,0,url
1,0,url
0,1,url
0,0,url
0,1,url
0,0,url
1,0,url
1,0,url
1,1,url
1,1,url
1,0,url
0,0,url
0,1,url
1,0,url
1,1,url
0,0,url
1,1,url
0,1,url
0,0,url
1,0,url
0,0,url
1,0,url
0,0,url
1,1,url
0,1,url
1,1,url
1,0,url
0,1,url
0,1,url
0,1,url
0,1,url
0,0,url
1,0,url
0,0,url
1,0,url
1,0,url
1,1,url
1,0,url
1,1,url
1,0,url
0,1,url
1,1,url
1,1,url
1,0,url
1,1,url
1,0,url
1,1,url
0,1,url
1,0,url
1,0,url
1,0,url
1,0,url
1,1,url
1,1,url
1,1,url
1,0,url
1,1,url
0,1,url
0,0,url
1,1,url
1,1,url
1,0,url
1,0,url
1,0,url
0,0,url
0,0,url
1,1,url
1,1,url
0,0,url
0,1,url
1,0,url
0,1,url
1,0,url
1,0,url
0,0,url
1,0,url
1,1,url
1,0,url
1,1,url
1,1,url
1,1,url
1,1,url
1,0,url
1,1,url
1,0,url
0,1,url
1,0,url
1,0,url
1,0,url
1,0,url
1,1,url
1,0,url
0,1,url
0,0,url
1,0,url
0,0,url
1,0,url
1,1,url
1,0,url
1,1,url
1,0,url
1,0,url
1,0,url
1,1,url
0,1,url
1,1,url
1,1,url
1,0,url
0,0,url
1,0,url
0,0,url
1,0,url
0,1,url
1,1,url
1,0,url
1,1,url
0,1,url
1,0,url
1,1,url
0,1,url
0,1,url
1,0,url
1,0,url
1,1,url
0,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
0,0,url
0,1,url
1,0,url
0,1,url
0,0,url
0,1,url
1,0,url
1,1,url
0,1,url
0,0,url
1,0,url
1,0,url
1,1,url
0,1,url
1,0,url
1,1,url
1,1,url
1,1,url
1,1,url
0,1,url
1,0,url
1,1,url
1,0,url
1,1,url
0,0,url
1,0,url
0,0,url
1,0,url
0,0,url
0,0,url
0,1,url
1,0,url
0,1,url
0,1,url
1,1,url
0,1,url
0,0,url
0,1,url
1,1,url
1,0,url
0,1,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
0,1,url
0,1,url
1,1,url
0,0,url
0,1,url
1,0,url
1,1,url
1,1,url
0,1,url
1,1,url
1,1,url
1,0,url
1,1,url
0,1,url
1,0,url
1,1,url
0,1,url
0,1,url
1,0,url
1,0,url
0,1,url
0,1,url
0,1,url
1,1,url
1,1,url
0,0,url
0,0,url
0,0,url
0,0,url
0,0,url
0,1,url
1,1,url
0,0,url
1,0,url
1,1,url
0,0,url
1,1,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,1,url
0,0,url
0,1,url
1,1,url
0,1,url
1,0,url
0,1,url
1,0,url
1,1,url
1,0,url
1,0,url
1,0,url
0,0,url
0,0,url
1,0,url
1,0,url
0,0,url
0,1,url
1,0,url
0,1,url
0,1,url
1,0,url
0,1,url
0,1,url
0,1,url
0,0,url
1,1,url
1,1,url
1,0,url
1,1,url
0,1,url
0,0,url
1,1,url
1,1,url
0,1,url
1,1,url
0,1,url
0,0,url
1,1,url
1,0,url
1,0,url
1,0,url
1,0,url
0,1,url
1,1,url
1,1,url
1,0,url
1,0,url
0,1,url
1,1,url
1,1,url
0,1,url
0,0,url
0,1,url
1,0,url
1,1,url
1,1,url
1,0,url
0,0,url
0,0,url
1,0,url
1,0,url
1,0,url
1,1,url
1,0,url
0,1,url
1,0,url
0,1,url
0,1,url
1,0,url
0,1,url
1,0,url
0,1,url
0,1,url
1,1,url
1,1,url
1,1,url
0,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
0,0,url
0,0,url
0,1,url
0,0,url
1,1,url
1,1,url
1,1,url
1,0,url
0,1,url
0,1,url
1,0,url
1,1,url
0,1,url
0,1,url
1,1,url
1,1,url
1,0,url
0,1,url
1,1,url
1,0,url
0,0,url
1,0,url
1,1,url
0,1,url
1,1,url
0,0,url
1,1,url
1,1,url
1,1,url
0,1,url
0,1,url
1,1,url
1,0,url
1,1,url
1,1,url
1,1,url
1,0,url
0,0,url
1,1,url
1,0,url
1,0,url
1,0,url
1,0,url
1,1,url
1,1,url
0,0,url
0,1,url
1,0,url
0,1,url
1,1,url
1,1,url
1,0,url
1,1,url
0,0,url
1,1,url
1,1,url
1,1,url
0,0,url
0,1,url
0,1,url
1,1,url
0,1,url
0,1,url
1,1,url
1,1,url
1,0,url
0,1,url
1,1,url
1,1,url
1,0,url
1,1,url
0,0,url
1,0,url
1,0,url
1,0,url
0,1,url
1,0,url
0,0,url
1,0,url
0,1,url
1,0,url
1,1,url
1,0,url
1,1,url
1,0,url
0,0,url
1,0,url
1,1,url
1,1,url
0,1,url
1,1,url
1,0,url
0,1,url
0,0,url
0,1,url
0,0,url
1,0,url
1,0,url
1,0,url
1,1,url
1,0,url
1,0,url
0,1,url
1,1,url
1,0,url
1,0,url
0,0,url
1,0,url
0,1,url
1,0,url
1,1,url
1,1,url
1,1,url
1,1,url
1,1,url
1,0,url
1,0,url
0,0,url
1,0,url
1,0,url
0,1,url
1,0,url
0,0,url
1,0,url
0,1,url
1,0,url
0,0,url
1,1,url
0,1,url
0,1,url
1,0,url
1,1,url
0,0,url
1,1,url
1,1,url
0,0,url
1,1,url
1,1,url
0,0,url
0,1,url
0,0,url
0,1,url
0,1,url
0,1,url
0,0,url
1,1,url
1,1,url
1,1,url
0,1,url
1,1,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,1,url
0,0,url
1,1,url
1,1,url
1,1,url
1,1,url
1,0,url
1,1,url
1,0,url
1,1,url
1,1,url
1,0,url
1,1,url
1,1,url
0,1,url
0,1,url
1,0,url
0,1,url
1,1,url
0,0,url
0,1,url
0,1,url
1,1,url
1,1,url
1,1,url
1,0,url
0,1,url
0,1,url
0,1,url
1,0,url
0,0,url
0,0,url
1,0,url
0,0,url
0,1,url
0,0,url
0,1,url
0,1,url
1,1,url
0,1,url
0,1,url
1,0,url
1,1,url
0,1,url
1,1,url
0,1,url
1,0,url
1,1,url
0,1,url
1,1,url
0,1,url
1,1,url
1,0,url
0,0,url
0,1,url
1,1,url
1,0,url
1,0,url
0,0,url
1,0,url
0,1,url
0,1,url
0,0,url
1,1,url
0,1,url
0,1,url
0,0,url
1,1,url
1,1,url
1,1,url
1,1,url
1,0,url
1,0,url
0,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
0,1,url
0,0,url
1,1,url
1,0,url
0,0,url
1,1,url
0,0,url
1,1,url
1,1,url
1,1,url
1,1,url
1,0,url
1,0,url
1,0,url
0,0,url
1,0,url
1,0,url
0,1,url
1,1,url
0,1,url
0,1,url
1,0,url
1,1,url
1,0,url
0,0,url
1,1,url
0,1,url
0,0,url
1,1,url
0,1,url
1,0,url
1,1,url
1,0,url
1,1,url
1,1,url
1,0,url
1,0,url
0,1,url
1,1,url
1,1,url
1,1,url
1,0,url
1,0,url
0,0,url
0,0,url
0,0,url
1,0,url
0,1,url
0,1,url
0,1,url
1,1,url
1,1,url
1,0,url
0,1,url
1,1,url
0,0,url
0,1,url
0,1,url
1,1,url
1,1,url
0,1,url
1,0,url
0,1,url
0,0,url
1,1,url
0,1,url
1,0,url
0,1,url
0,1,url
0,0,url
1,1,url
0,1,url
1,0,url
1,0,url
1,0,url
1,0,url
1,1,url
1,0,url
1,1,url
1,0,url
0,1,url
0,0,url
0,0,url
0,1,url
1,1,url
1,0,url
1,0,url
1,0,url
1,0,url
0,1,url
1,1,url
0,1,url
1,0,url
1,1,url
0,1,url
0,1,url
1,0,url
0,1,url
0,1,url
1,0,url
1,1,url
0,1,url
0,1,url
1,0,url
0,1,url
0,1,url
1,0,url
0,1,url
0,1,url
1,1,url
1,0,url
0,1,url
1,0,url
1,0,url
1,0,url
0,1,url
0,1,url
0,1,url
1,1,url
1,0,url
0,0,url
0,1,url
0,1,url
1,1,url
0,0,url
1,1,url
0,1,url
0,1,url
1,0,url
0,1,url
0,1,url
0,1,url
0,0,url
0,0,url
1,0,url
0,1,url
0,1,url
1,0,url
1,0,url
1,0,url
0,1,url
0,1,url
1,0,url
0,1,url
1,0,url
0,0,url
0,0,url
1,0,url
0,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
0,1,url
1,0,url
1,0,url
1,0,url
0,1,url
1,0,url
1,0,url
0,1,url
0,1,url
1,0,url
0,1,url
0,1,url
1,0,url
1,1,url
1,0,url
0,1,url
0,1,url
1,1,url
1,0,url
1,1,url
0,1,url
1,1,url
0,0,url
1,0,url
1,1,url
1,0,url
0,1,url
1,0,url
0,0,url
0,0,url
1,0,url
0,0,url
1,0,url
1,0,url
1,0,url
0,1,url
0,1,url
0,0,url
1,0,url
1,1,url
0,0,url
1,1,url
0,0,url
1,0,url
1,0,url
1,0,url
0,1,url
0,0,url
1,1,url
1,0,url
0,0,url
1,1,url
0,0,url
1,1,url
0,1,url
1,1,url
1,1,url
1,0,url
0,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,1,url
0,1,url
0,0,url
1,1,url
0,1,url
1,0,url
1,0,url
0,1,url
1,0,url
1,0,url
0,1,url
0,0,url
1,1,url
1,0,url
1,0,url
1,1,url
1,1,url
1,1,url
1,0,url
0,1,url
0,0,url
1,1,url
1,0,url
1,0,url
1,0,url
1,1,url
0,0,url
1,0,url
1,0,url
1,0,url
0,0,url
0,1,url
0,1,url
0,0,url
1,1,url
1,0,url
1,0,url
0,0,url
1,0,url
1,1,url
0,1,url
0,0,url
1,1,url
1,0,url
1,0,url
1,0,url
0,0,url
1,1,url
1,0,url
0,0,url
1,1,url
1,0,url
1,1,url
0,0,url
1,1,url
1,1,url
1,1,url
1,0,url
0,1,url
1,1,url
1,1,url
1,1,url
1,0,url
1,1,url
0,1,url
1,1,url
1,1,url
0,0,url
1,1,url
0,0,url
0,1,url
1,1,url
0,0,url
1,1,url
0,1,url
0,1,url
1,0,url
1,1,url
1,0,url
1,0,url
0,1,url
1,1,url
1,0,url
1,1,url
1,1,url
0,0,url
0,1,url
1,0,url
1,1,url
1,1,url
1,1,url
1,1,url
1,0,url
1,1,url
0,1,url
1,0,url
0,1,url
0,1,url
1,0,url
0,1,url
1,0,url
1,1,url
1,0,url
1,0,url
1,0,url
0,0,url
1,0,url
1,0,url
1,1,url
1,0,url
0,1,url
1,1,url
1,0,url
0,1,url
0,1,url
0,0,url
0,1,url
0,0,url
1,0,url
0,1,url
1,0,url
1,0,url
1,1,url
1,1,url
1,0,url
1,0,url
1,1,url
1,0,url
1,1,url
1,1,url
1,0,url
0,1,url
1,1,url
1,1,url
1,0,url
1,1,url
1,1,url
1,1,url
1,0,url
1,0,url
1,1,url
1,1,url
1,1,url
1,1,url
1,1,url
0,1,url
1,0,url
1,1,url
0,1,url
1,1,url
1,0,url
0,1,url
1,1,url
1,0,url
1,0,url
1,0,url
1,0,url
0,0,url
1,0,url
1,1,url
1,1,url
0,0,url
1,1,url
1,0,url
0,1,url
1,0,url
0,0,url
1,1,url
1,1,url
0,0,url
1,0,url
1,1,url
1,0,url
1,1,url
0,1,url
0,1,url
0,0,url
1,0,url
1,0,url
1,1,url
1,1,url
1,1,url
0,1,url
1,1,url
0,1,url
1,0,url
0,1,url
1,0,url
0,1,url
1,1,url
1,0,url
0,0,url
1,0,url
0,0,url
1,0,url
1,0,url
0,1,url
1,1,url
0,0,url
0,1,url
1,0,url
1,1,url
1,0,url
0,1,url
1,1,url
1,1,url
1,1,url
1,0,url
0,1,url
1,0,url
1,0,url
1,1,url
1,1,url
1,0,url
1,0,url
0,1,url
1,0,url
1,0,url
0,0,url
1,0,url
1,0,url
1,1,url
0,0,url
0,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
0,0,url
0,1,url
1,0,url
1,1,url
1,0,url
0,1,url
1,0,url
1,1,url
1,0,url
1,0,url
1,0,url
1,1,url
0,0,url
1,1,url
1,1,url
1,1,url
0,1,url
0,0,url
1,0,url
1,0,url
1,1,url
1,0,url
1,1,url
0,0,url
1,1,url
1,1,url
0,1,url
0,1,url
0,1,url
0,1,url
0,0,url
1,1,url
1,1,url
0,0,url
0,1,url
0,1,url
1,1,url
1,0,url
0,1,url
0,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,1,url
0,1,url
0,1,url
1,0,url
0,0,url
0,1,url
0,1,url
1,0,url
0,1,url
1,1,url
1,1,url
1,0,url
1,1,url
0,1,url
1,0,url
0,1,url
1,0,url
1,0,url
0,0,url
1,0,url
0,1,url
0,1,url
1,0,url
0,1,url
0,1,url
0,1,url
0,1,url
0,1,url
1,0,url
1,1,url
0,1,url
0,0,url
0,1,url
1,0,url
1,0,url
1,0,url
1,0,url
0,0,url
1,1,url
1,0,url
1,1,url
1,0,url
0,1,url
0,0,url
0,1,url
0,1,url
1,0,url
1,0,url
0,1,url
0,1,url
1,0,url
1,1,url
1,1,url
1,1,url
1,1,url
1,1,url
0,0,url
1,0,url
1,0,url
1,1,url
1,1,url
0,0,url
1,1,url
1,1,url
1,0,url
1,1,url
0,1,url
1,0,url
1,0,url
1,0,url
1,1,url
1,0,url
1,1,url
1,1,url
1,1,url
0,1,url
1,0,url
0,1,url
1,0,url
0,0,url
1,1,url
0,0,url
1,1,url
1,1,url
0,1,url
1,1,url
1,1,url
1,1,url
1,1,url
1,1,url
1,0,url
1,0,url
1,0,url
1,1,url
1,1,url
0,0,url
1,1,url
1,0,url
1,1,url
0,0,url
1,1,url
1,0,url
1,0,url
1,1,url
0,0,url
0,0,url
0,1,url
1,1,url
1,1,url
1,1,url
1,1,url
1,1,url
0,0,url
1,1,url
1,1,url
1,1,url
0,1,url
1,0,url
1,1,url
1,1,url
1,0,url
1,0,url
1,0,url
0,0,url
1,0,url
1,0,url
0,0,url
1,0,url
0,1,url
1,1,url
1,1,url
1,1,url
1,1,url
1,0,url
1,1,url
1,1,url
1,1,url
1,1,url
1,1,url
1,1,url
1,1,url
1,1,url
1,0,url
1,0,url
1,1,url
1,1,url
1,0,url
0,1,url
0,1,url
1,0,url
1,0,url
0,0,url
1,0,url
0,0,url
1,1,url
0,1,url
1,0,url
1,1,url
1,1,url
1,0,url
0,1,url
0,0,url
1,0,url
1,1,url
0,0,url
0,1,url
1,1,url
0,1,url
1,0,url
0,1,url
1,0,url
1,0,url
1,0,url
0,1,url
0,0,url
1,1,url
0,0,url
1,1,url
0,1,url
1,0,url
1,1,url
1,1,url
0,1,url
1,1,url
1,1,url
1,1,url
1,0,url
0,0,url
1,0,url
1,1,url
1,1,url
1,0,url
0,1,url
1,1,url
0,1,url
1,1,url
1,0,url
1,1,url
1,0,url
1,1,url
1,1,url
1,1,url
1,0,url
1,1,url
1,1,url
1,1,url
1,1,url
0,1,url
1,1,url
1,1,url
1,1,url
1,1,url
1,1,url
1,0,url
1,1,url
0,0,url
0,1,url
1,1,url
1,0,url
1,1,url
1,1,url
1,0,url
1,0,url
0,0,url
1,0,url
1,0,url
0,1,url
0,0,url
1,1,url
0,1,url
0,0,url
1,0,url
1,1,url
1,0,url
1,0,url
1,0,url
0,0,url
1,1,url
1,1,url
0,0,url
1,1,url
1,1,url
1,1,url
1,0,url
1,1,url
1,0,url
1,1,url
0,0,url
1,1,url
1,0,url
0,0,url
1,1,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
0,1,url
0,1,url
1,1,url
0,0,url
1,1,url
1,1,url
0,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
0,0,url
0,1,url
1,1,url
0,0,url
1,0,url
1,0,url
1,0,url
0,1,url
1,0,url
0,0,url
0,1,url
1,0,url
1,1,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,1,url
0,0,url
1,1,url
1,1,url
1,0,url
0,0,url
0,0,url
1,0,url
1,0,url
0,1,url
1,0,url
0,1,url
1,1,url
1,0,url
0,0,url
0,0,url
1,0,url
0,0,url
1,0,url
0,1,url
1,0,url
0,0,url
1,0,url
1,0,url
0,1,url
1,0,url
1,1,url
1,0,url
1,1,url
0,1,url
0,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,1,url
1,0,url
0,0,url
1,0,url
1,0,url
1,0,url
0,1,url
1,0,url
0,0,url
1,1,url
1,0,url
0,0,url
0,1,url
1,0,url
1,1,url
0,0,url
0,1,url
1,0,url
0,1,url
1,0,url
0,0,url
1,0,url
1,1,url
1,0,url
1,0,url
0,0,url
0,1,url
0,0,url
1,1,url
0,1,url
1,0,url
1,1,url
1,0,url
1,1,url
1,0,url
0,0,url
1,0,url
0,1,url
1,0,url
1,0,url
1,1,url
0,1,url
1,1,url
1,1,url
1,0,url
1,1,url
1,0,url
1,0,url
1,0,url
1,1,url
0,0,url
0,1,url
1,0,url
1,0,url
1,0,url
1,0,url
0,0,url
0,1,url
1,1,url
1,0,url
0,0,url
0,1,url
1,0,url
1,0,url
1,0,url
0,0,url
1,1,url
1,1,url
0,0,url
0,1,url
1,0,url
0,0,url
0,0,url
1,1,url
1,0,url
1,0,url
0,0,url
1,1,url
1,1,url
0,1,url
1,0,url
1,0,url
1,0,url
0,1,url
1,1,url
1,1,url
0,0,url
0,0,url
1,0,url
0,1,url
0,0,url
1,0,url
0,1,url
0,1,url
0,0,url
1,1,url
0,1,url
0,0,url
0,0,url
1,0,url
0,1,url
1,0,url
0,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,1,url
1,0,url
0,0,url
1,0,url
1,0,url
1,1,url
0,1,url
1,0,url
1,0,url
0,1,url
0,1,url
0,1,url
0,0,url
0,1,url
1,0,url
1,1,url
0,1,url
0,0,url
1,1,url
0,0,url
1,0,url
0,0,url
0,1,url
1,0,url
1,0,url
0,1,url
0,0,url
1,1,url
1,1,url
0,0,url
1,0,url
1,0,url
1,0,url
0,1,url
1,0,url
0,1,url
1,0,url
1,0,url
1,0,url
0,0,url
1,1,url
1,0,url
1,0,url
1,1,url
1,0,url
1,1,url
1,0,url
1,0,url
1,0,url
0,0,url
1,0,url
1,1,url
1,0,url
0,0,url
1,0,url
0,0,url
1,1,url
1,1,url
1,1,url
1,0,url
1,0,url
1,1,url
1,0,url
1,1,url
1,0,url
1,0,url
1,0,url
1,1,url
0,1,url
0,1,url
1,1,url
1,1,url
1,0,url
1,1,url
1,1,url
0,0,url
0,1,url
0,1,url
0,0,url
1,1,url
0,0,url
1,0,url
1,1,url
1,0,url
0,1,url
1,0,url
0,0,url
0,1,url
1,0,url
0,0,url
1,0,url
1,1,url
1,0,url
1,1,url
0,1,url
0,0,url
1,0,url
1,1,url
1,0,url
1,1,url
0,1,url
1,1,url
1,0,url
1,1,url
1,1,url
1,1,url
1,0,url
1,0,url
1,0,url
0,1,url
0,0,url
1,0,url
1,0,url
1,0,url
1,1,url
1,1,url
1,1,url
1,1,url
1,1,url
1,1,url
1,1,url
1,0,url
0,0,url
1,0,url
1,0,url
1,0,url
1,1,url
1,1,url
1,1,url
1,1,url
1,1,url
0,0,url
1,1,url
1,1,url
1,1,url
1,0,url
1,0,url
1,0,url
1,1,url
0,1,url
1,1,url
0,1,url
1,0,url
1,1,url
1,1,url
1,0,url
1,0,url
1,0,url
0,1,url
1,1,url
1,0,url
0,1,url
1,0,url
1,1,url
0,1,url
1,1,url
1,1,url
0,0,url
0,0,url
1,0,url
0,0,url
1,0,url
1,1,url
1,0,url
1,0,url
0,1,url
0,0,url
1,0,url
1,0,url
0,0,url
0,1,url
0,1,url
0,1,url
0,1,url
1,0,url
0,1,url
0,1,url
1,0,url
1,1,url
0,0,url
0,0,url
0,0,url
0,1,url
1,1,url
1,0,url
1,0,url
0,1,url
1,1,url
1,0,url
1,1,url
1,0,url
0,1,url
1,1,url
0,1,url
1,0,url
1,0,url
0,0,url
1,0,url
1,0,url
1,0,url
1,1,url
1,1,url
0,1,url
1,1,url
1,1,url
1,0,url
0,0,url
0,0,url
1,1,url
0,1,url
1,1,url
0,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
1,0,url
0,0,url
1,0,url
1,1,url
0,1,url
1,0,url
1,0,url
0,1,url
1,0,url
0,1,url
1,0,url
0,1,url
1,0,url
1,1,url
1,1,url
1,0,url
1,1,url
1,0,url
0,1,url
0,1,url
1,1,url
1,1,url
1,0,url
1,1,url
1,1,url
0,0,url
1,1,url
0,1,url
1,0,url
0,1,url
1,1,url
1,1,url
0,1,url
1,1,url
1,1,url
1,1,url
1,1,url
0,1,url
1,1,url
0,0,url
1,1,url
1,1,url
0,0,url
1,1,url
1,0,url
0,0,url
1,1,url
1,0,url
0,1,url
0,0,url
1,1,url
0,0,url
0,0,url
